"Food Servers, Nonrestaurant",30350
Dining Room and Cafeteria Attendants and Bartender Helpers,27020
Dishwashers,25650
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",26850
"Food Preparation and Serving Related Workers, All Other",26500
Building and Grounds Cleaning and Maintenance Occupations,34530
First-Line Supervisors of Housekeeping and Janitorial Workers,46780
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",59640
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",33570
Maids and Housekeeping Cleaners,30340
"Building Cleaning Workers, All Other",42590
Pest Control Workers,42100
Landscaping and Groundskeeping Workers,34510
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",50560
Tree Trimmers and Pruners,48010
"Grounds Maintenance Workers, All Other",38920
Personal Care and Service Occupations,29750
First-Line Supervisors of Gaming Workers,52620
First-Line Supervisors of Personal Service Workers,43620
Animal Trainers,41600
Nonfarm Animal Caretakers,29830
Gaming Dealers,25650
Gaming and Sports Book Writers and Runners,31720
"Gaming Service Workers, All Other",33410
Motion Picture Projectionists,31730
"Ushers, Lobby Attendants, and Ticket Takers",26710
Amusement and Recreation Attendants,26660
Costume Attendants,46140
"Locker Room, Coatroom, and Dressing Room Attendants",34810
"Entertainment Attendants and Related Workers, All Other",34570
Embalmers,50280
Funeral Attendants,37610
"Morticians, Undertakers, and Funeral Directors",51350
Barbers,35850
"Hairdressers, Hairstylists, and Cosmetologists",31400
"Makeup Artists, Theatrical and Performance",79820
Manicurists and Pedicurists,26260
Shampooers,25510
Skincare Specialists,34780
Baggage Porters and Bellhops,30130
Concierges,35910
Tour and Travel Guides,33220
Childcare Workers,28630
Personal Care Aides,27210
Fitness Trainers and Aerobics Instructors,51580
Recreation Workers,31180
Residential Advisors,34830
"Personal Care and Service Workers, All Other",29990
Sales and Related Occupations,45070
First-Line Supervisors of Retail Sales Workers,45310
First-Line Supervisors of Non-Retail Sales Workers,72740
Cashiers,27450
Gaming Change Persons and Booth Cashiers,28520
Counter and Rental Clerks,34410
Parts Salespersons,36650
Retail Salespersons,31460
Advertising Sales Agents,70720
Insurance Sales Agents,76420
"Securities, Commodities, and Financial Services Sales Agents",81610
Travel Agents,47460
"Sales Representatives, Services, All Other",67280
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",94600
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",72780
Demonstrators and Product Promoters,36510
Models,43810
Real Estate Brokers,86000
Real Estate Sales Agents,73450
Sales Engineers,117170
Telemarketers,31880
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",38120
"Sales and Related Workers, All Other",49900
Office and Administrative Support Occupations,43240
First-Line Supervisors of Office and Administrative Support Workers,62560
"Switchboard Operators, Including Answering Service",36160
Telephone Operators,41900
"Communications Equipment Operators, All Other",54250
Bill and Account Collectors,44340
Billing and Posting Clerks,44080
"Bookkeeping, Accounting, and Auditing Clerks",47750
Gaming Cage Workers,29940
Payroll and Timekeeping Clerks,51520
Procurement Clerks,45030
Tellers,32120
"Financial Clerks, All Other",41570
Brokerage Clerks,58130
Correspondence Clerks,45530
"Court, Municipal, and License Clerks",51550
"Credit Authorizers, Checkers, and Clerks",42680
Customer Service Representatives,41850
"Eligibility Interviewers, Government Programs",53200
File Clerks,36820
"Hotel, Motel, and Resort Desk Clerks",29880
"Interviewers, Except Eligibility and Loan",42970
"Library Assistants, Clerical",35540
Loan Interviewers and Clerks,46480
New Accounts Clerks,41070
Order Clerks,38160
"Human Resources Assistants, Except Payroll and Timekeeping",44600
Receptionists and Information Clerks,33190
Reservation and Transportation Ticket Agents and Travel Clerks,41160
"Information and Record Clerks, All Other",46860
Cargo and Freight Agents,45830
Couriers and Messengers,34620
"Police, Fire, and Ambulance Dispatchers",65530
"Dispatchers, Except Police, Fire, and Ambulance",45370
"Meter Readers, Utilities",61010
Postal Service Clerks,53660
Postal Service Mail Carriers,53680
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",51520
"Production, Planning, and Expediting Clerks",52480
"Shipping, Receiving, and Traffic Clerks",36320
Stock Clerks and Order Fillers,30900
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",34420
Executive Secretaries and Executive Administrative Assistants,71590
Legal Secretaries,56570
Medical Secretaries,42900
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43670
Computer Operators,52480
Data Entry Keyers,35300
Word Processors and Typists,44790
Desktop Publishers,56370
Insurance Claims and Policy Processing Clerks,42690
"Mail Clerks and Mail Machine Operators, Except Postal Service",34030
"Office Clerks, General",38060
"Office Machine Operators, Except Computer",38170
Proofreaders and Copy Markers,44250
Statistical Assistants,50250
"Office and Administrative Support Workers, All Other",37940
"Farming, Fishing, and Forestry Occupations",27520
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",47360
Agricultural Inspectors,49950
Animal Breeders,39360
"Graders and Sorters, Agricultural Products",25140
Agricultural Equipment Operators,32180
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",26240
"Farmworkers, Farm, Ranch, and Aquacultural Animals",31500
"Agricultural Workers, All Other",38230
Forest and Conservation Workers,24720
Fallers,56720
Logging Equipment Operators,51520
Log Graders and Scalers,40480
"Logging Workers, All Other",48260
Construction and Extraction Occupations,59630
First-Line Supervisors of Construction Trades and Extraction Workers,82460
Boilermakers,70120
Brickmasons and Blockmasons,59880
Stonemasons,46860
Carpenters,59860
Carpet Installers,47790
"Floor Layers, Except Carpet, Wood, and Hard Tiles",51360
Floor Sanders and Finishers,50470
Tile and Marble Setters,50820
Cement Masons and Concrete Finishers,56890
Terrazzo Workers and Finishers,58060
Construction Laborers,48250
"Paving, Surfacing, and Tamping Equipment Operators",58370
Pile-Driver Operators,80030
Operating Engineers and Other Construction Equipment Operators,73130
Drywall and Ceiling Tile Installers,61820
Tapers,62060
Electricians,69320
Glaziers,60010
"Insulation Workers, Floor, Ceiling, and Wall",53750
"Insulation Workers, Mechanical",73060
"Painters, Construction and Maintenance",49150
Paperhangers,50130
Pipelayers,52850
"Plumbers, Pipefitters, and Steamfitters",61410
Plasterers and Stucco Masons,52510
Reinforcing Iron and Rebar Workers,44890
Roofers,50740
Sheet Metal Workers,56310
Structural Iron and Steel Workers,67130
Solar Photovoltaic Installers,46390
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",39100
Helpers--Carpenters,36150
Helpers--Electricians,37970
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",36070
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",34500
Helpers--Roofers,40030
"Helpers, Construction Trades, All Other",33840
Construction and Building Inspectors,89680
Elevator Installers and Repairers,87820
Fence Erectors,42170
Hazardous Materials Removal Workers,49470
Highway Maintenance Workers,57070
Rail-Track Laying and Maintenance Equipment Operators,51330
Septic Tank Servicers and Sewer Pipe Cleaners,44160
Miscellaneous Construction and Related Workers,45290
"Derrick Operators, Oil and Gas",52300
"Rotary Drill Operators, Oil and Gas",66630
"Service Unit Operators, Oil, Gas, and Mining",56730
"Earth Drillers, Except Oil and Gas",56080
"Explosives Workers, Ordnance Handling Experts, and Blasters",68980
Continuous Mining Machine Operators,47490
Mine Cutting and Channeling Machine Operators,58290
"Rock Splitters, Quarry",43850
"Roustabouts, Oil and Gas",38260
Helpers--Extraction Workers,41110
"Installation, Maintenance, and Repair Occupations",54360
"First-Line Supervisors of Mechanics, Installers, and Repairers",80650
"Computer, Automated Teller, and Office Machine Repairers",43900
"Radio, Cellular, and Tower Equipment Installers and Repairers",55150
"Telecommunications Equipment Installers and Repairers, Except Line Installers",60110
Avionics Technicians,70710
"Electric Motor, Power Tool, and Related Repairers",47380
